chinese,thai_meaning,category,hsk_level
一半,,,hsk1
一块儿,,,hsk1
一边,,,hsk1
上学,,,hsk1
上次,,,hsk1
下次,,,hsk1
下班,,,hsk1
下车,,,hsk1
不大,,,hsk1
不对,,,hsk1
中,,,hsk1
中学生,,,hsk1
书包,,,hsk1
事,,,hsk1
们,,,hsk1
元,,,hsk1
关,,,hsk1
关上,,,hsk1
出,,,hsk1
分,,,hsk1
别,,,hsk1
前,,,hsk1
动,,,hsk1
动作,,,hsk1
包,,,hsk1
北,,,hsk1
半,,,hsk1
半年,,,hsk1
南,,,hsk1
口,,,hsk1
右,,,hsk1
后,,,hsk1
听到,,,hsk1
听见,,,hsk1
呢,,,hsk1
哥,,,hsk1
哪些,,,hsk1
唱,,,hsk1
回到,,,hsk1
回去,,,hsk1
国外,,,hsk1
在家,,,hsk1
地,,,hsk1
地上,,,hsk1
坏,,,hsk1
坐下,,,hsk1
块,,,hsk1
外,,,hsk1
外国,,,hsk1
女,,,hsk1
女孩儿,,,hsk1
奶,,,hsk1
好玩儿,,,hsk1
妹,,,hsk1
姐,,,hsk1
子,,,hsk1
字,,,hsk1
家人,,,hsk1
家里,,,hsk1
小学生,,,hsk1
小孩儿,,,hsk1
小朋友,,,hsk1
就,,,hsk1
山,,,hsk1
左,,,hsk1
差,,,hsk1
帮,,,hsk1
常,,,hsk1
干,,,hsk1
干什么,,,hsk1
弟,,,hsk1
得到,,,hsk1
忘,,,hsk1
您,,,hsk1
打车,,,hsk1
找到,,,hsk1
拿,,,hsk1
放,,,hsk1
放学,,,hsk1
教学楼,,,hsk1
日期,,,hsk1
早,,,hsk1
是不是,,,hsk1
晚,,,hsk1
有一些,,,hsk1
有时,,,hsk1
有的,,,hsk1
机票,,,hsk1
来到,,,hsk1
树,,,hsk1
楼下,,,hsk1
次,,,hsk1
歌,,,hsk1
正,,,hsk1
比,,,hsk1
毛,,,hsk1
没事儿,,,hsk1
没什么,,,hsk1
洗,,,hsk1
班,,,hsk1
球,,,hsk1
用,,,hsk1
电,,,hsk1
电视机,,,hsk1
男孩儿,,,hsk1
病,,,hsk1
看,,,hsk1
真的,,,hsk1
着,,,hsk1
睡,,,hsk1
站,,,hsk1
笑,,,hsk1
第,,,hsk1
第二,,,hsk1
网上,,,hsk1
网友,,,hsk1
老,,,hsk1
考,,,hsk1
能,,,hsk1
花,,,hsk1
行,,,hsk1
西,,,hsk1
记,,,hsk1
试,,,hsk1
话,,,hsk1
请问,,,hsk1
课,,,hsk1
课本,,,hsk1
跑,,,hsk1
跟,,,hsk1
路上,,,hsk1
路口,,,hsk1
身上,,,hsk1
车,,,hsk1
车票,,,hsk1
这边,,,hsk1
送,,,hsk1
那些,,,hsk1
