chinese,thai_meaning,category,hsk_level
阿拉伯语,ภาษาอาหรับ,,hsk7
呵护,"ดูแล, เอาใจใส่, ทะนุถนอม",,hsk7
哎,"เฮ้อ, อ้อ (แสดงความเหนื่อย, ผิดหวัง, หรือเห็นใจ)",,hsk7
哎呀,"อุ๊ย, ตายแล้ว, โธ่เอ๋ย (แสดงความตกใจ, ประหลาดใจ, หรือผิดหวัง)",,hsk7
哀求,"วิงวอน, อ้อนวอน, ขอร้อง",,hsk7
唉,"เฮ้อ, ถอนหายใจ (แสดงความผิดหวัง, เสียใจ, หรือเหนื่อยหน่าย)",,hsk7
挨家挨户,"ไปทุกบ้าน, เยี่ยมเยียนทุกครัวเรือน",,hsk7
癌,มะเร็ง,,hsk7
爱不释手,"รักจนวางไม่ลง, ชอบมากจนไม่อยากวาง",,hsk7
爱理不理,"ทำเป็นไม่สนใจ, เฉยเมย, ไม่แยแส",,hsk7
爱面子,"รักหน้า, หยิ่งในศักดิ์ศรี, ถือตัว",,hsk7
碍事,"เกะกะ, ขวางทาง, เป็นอุปสรรค",,hsk7
安定,"สงบ, มั่นคง, เรียบร้อย",,hsk7
安抚,"ปลอบโยน, ปลอบประโลม, ทำให้สงบ",,hsk7
安宁,"สงบ, เงียบสงบ, สันติ",,hsk7
安稳,"มั่นคง, สงบ, ปลอดภัย",,hsk7
安心,"สบายใจ, วางใจ, หายห่วง",,hsk7
安逸,"สุขสบาย, สบายๆ, ไม่เร่งรีบ",,hsk7
按键,กดปุ่ม,,hsk7
按理说,"ตามหลักการแล้ว, โดยเหตุผลแล้ว",,hsk7
按说,"ตามที่ควรจะเป็น, โดยปกติแล้ว",,hsk7
暗地里,"ลับๆ, แอบๆ, อย่างลับๆ",,hsk7
暗杀,"ลอบสังหาร, ลอบฆ่า",,hsk7
暗中,"ลับๆ, แอบๆ, ในความลับ",,hsk7
昂贵,"แพง, ราคาสูง",,hsk7
凹,"เว้า, บุ๋ม, เป็นแอ่ง",,hsk7
熬,"ทน, อดทน, ฝืน (เช่น ทนหิว, ทนรอ)",,hsk7
傲,"หยิ่ง, ทะนง, อวดดี",,hsk7
傲慢,"หยิ่งยโส, เย่อหยิ่ง, อวดดี",,hsk7
奥秘,"ความลึกลับ, ความลับ, สิ่งที่เข้าใจยาก",,hsk7
奥运会,โอลิมปิก,,hsk7
扒,"ขุด, คุ้ย, รื้อ ; ปีน (เช่น ปีนกำแพง)",,hsk7
芭蕾,บัลเลต์,,hsk7
把关,"ตรวจสอบ, ควบคุม, ดูแล",,hsk7
把手,"มือจับ, ที่จับ ; หัวหน้า, ผู้รับผิดชอบ",,hsk7
靶子,"เป้า, เป้าหมาย",,hsk7
坝,"เขื่อน, ฝาย",,hsk7
霸占,"ยึดครอง, ผูกขาด, ครอบงำ",,hsk7
巴不得,"อยากจะ, ปรารถนาอย่างแรงกล้า",,hsk7
罢免,"ปลด, ถอดถอน, ไล่ออก",,hsk7
罢休,"หยุด, เลิก, ยอมแพ้",,hsk7
掰,หัก (เช่น หักขนมปัง),,hsk7
白白,"เปล่าๆ, เสียเปล่า, โดยไม่เกิดประโยชน์",,hsk7
百分比,"ร้อยละ, เปอร์เซ็นต์",,hsk7
百科全书,สารานุกรม,,hsk7
柏树,ต้นสน,,hsk7
摆放,"จัดวาง, วางเรียง",,hsk7
拜会,"เข้าพบ, เยี่ยมเยียน (อย่างเป็นทางการ)",,hsk7
拜见,"เข้าพบ, เข้าเฝ้า (เพื่อแสดงความเคารพ)",,hsk7
拜年,อวยพรปีใหม่,,hsk7
拜托,"ฝากด้วย, กรุณา, ขอร้อง",,hsk7
扳,"งัด, ดึง, พลิก (เช่น งัดไม้)",,hsk7
颁布,"ประกาศ, ออกประกาศ",,hsk7
颁发,"มอบ, แจกจ่าย, ประกาศให้ทราบ",,hsk7
颁奖,มอบรางวัล,,hsk7
斑点,"จุด, รอยด่าง",,hsk7
搬迁,"ย้าย, อพยพ",,hsk7
板块,แผ่นเปลือกโลก,,hsk7
办不到,"ทำไม่ได้, ไม่สำเร็จ",,hsk7
半边天,ครึ่งหนึ่งของท้องฟ้า (หมายถึง ผู้หญิง),,hsk7
半场,ครึ่งสนาม,,hsk7
半岛,คาบสมุทร,,hsk7
半路,"กลางทาง, กลางคัน",,hsk7
半数,"ครึ่งหนึ่ง, กึ่งหนึ่ง",,hsk7
半途而废,"ทำอะไรครึ่งๆ กลางๆ, เลิกกลางคัน",,hsk7
半信半疑,"กึ่งเชื่อกึ่งไม่เชื่อ, ลังเล",,hsk7
半真半假,"กึ่งจริงกึ่งเท็จ, ไม่แน่ใจ",,hsk7
伴,"คู่, เพื่อน, เคียงข้าง",,hsk7
伴侣,"คู่ครอง, คนรัก, เพื่อนร่วมชีวิต",,hsk7
伴随,"ติดตาม, ไปด้วย, มาพร้อมกับ",,hsk7
伴奏,"เล่นดนตรีประกอบ, บรรเลง",,hsk7
拌,"คลุกเคล้า, ปรุง (อาหาร)",,hsk7
扮,"แต่งตัวเป็น, สวมบทบาท",,hsk7
帮手,"ผู้ช่วย, ลูกมือ",,hsk7
绑,"ผูก, มัด",,hsk7
绑架,"ลักพาตัว, จับไปขัง",,hsk7
榜样,"แบบอย่าง, ตัวอย่างที่ดี",,hsk7
磅,"ตาชั่ง, หน่วยน้ำหนัก (ประมาณ 1 ปอนด์)",,hsk7
包袱,"ภาระ, ความกังวล, ของที่ต้องแบก",,hsk7
包扎,"พันแผล, ปิดแผล",,hsk7
煲,"หม้อ (สำหรับตุ๋น, ต้ม)",,hsk7
宝藏,"สมบัติ, ขุมทรัพย์",,hsk7
宝库,"คลังสมบัติ, แหล่งรวมสิ่งมีค่า",,hsk7
饱和,"อิ่มตัว, เต็มที่",,hsk7
饱满,"เต็มเปี่ยม, สมบูรณ์, อุดมสมบูรณ์",,hsk7
保管,"เก็บรักษา, ดูแล, รับฝาก",,hsk7
保姆,"พี่เลี้ยงเด็ก, แม่บ้าน",,hsk7
保暖,"รักษาความอบอุ่น, ทำให้ร่างกายอบอุ่น",,hsk7
保鲜,"รักษาความสด, ทำให้สดใหม่",,hsk7
保修,"รับประกัน, ซ่อมแซม (ตามเงื่อนไข)",,hsk7
保佑,"คุ้มครอง, ปกป้อง, อวยพร",,hsk7
保障,"หลักประกัน, การคุ้มครอง, ความมั่นคง",,hsk7
保质期,"วันหมดอายุ, อายุการเก็บรักษา",,hsk7
保重,"ดูแลตัวเอง, รักษาตัว",,hsk7
堡垒,"ป้อมปราการ, ป้อม, ที่มั่น",,hsk7
报仇,"แก้แค้น, ล้างแค้น",,hsk7
报酬,"ค่าตอบแทน, ค่าจ้าง",,hsk7
报废,"ของเสีย, ของที่ใช้ไม่ได้แล้ว",,hsk7
报复,"แก้แค้น, ตอบโต้",,hsk7
报社,"สำนักข่าว, กองบรรณาธิการ",,hsk7
报亭,"แผงขายหนังสือพิมพ์, แผงขายของ",,hsk7
抱负,"ความใฝ่ฝัน, เป้าหมายในชีวิต",,hsk7
豹,"เสือดาว, เสือดำ",,hsk7
暴风骤雨,"พายุฝนฟ้าคะนอง, พายุใหญ่",,hsk7
暴利,"กำไรมหาศาล, การค้ากำไรเกินควร",,hsk7
暴躁,"อารมณ์ฉุนเฉียว, หงุดหงิดง่าย",,hsk7
爆冷门,"พลิกความคาดหมาย, ชนะแบบเหนือความคาดหมาย",,hsk7
爆满,"เต็ม, แน่นขนัด",,hsk7
爆竹,"ประทัด, พลุ",,hsk7
悲哀,"ความเศร้า, ความโศกเศร้า",,hsk7
